Halifax Average Rent by Bedroom Type by Zone,,,,,,,,,,
October 2021 Row / Apartment,,,,,,,,,,
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,
Peninsula South,965,a ,"1,313",a ,"1,751",a ,"2,183",b ,"1,441",a 
Peninsula North,916,b ,"1,104",a ,"1,333",a ,"1,536",b ,"1,229",a 
Mainland South,834,c ,835,a ,"1,131",b ,"1,270",b ,"1,041",a 
Mainland North,861,a ,"1,034",a ,"1,282",a ,"1,596",a ,"1,245",a 
Dartmouth North,687,a ,908,b ,"1,166",b ,"1,295",b ,"1,044",b 
Dartmouth South,680,d ,"1,009",b ,"1,314",b ,"1,347",b ,"1,217",b 
Dartmouth East,**,,889,b ,"1,175",b ,"1,235",b ,"1,120",b 
Bedford,796,c ,917,b ,"1,457",b ,"1,449",b ,"1,356",b 
Sackville,**,,"1,000",c ,"1,234",a ,"1,523",a ,"1,252",a 
Remainder of CMA,880,a ,"1,043",b ,"1,554",a ,"1,776",a ,"1,422",b 
Halifax,902,a ,"1,085",a ,"1,334",a ,"1,569",a ,"1,247",a 
,,,,,,,,,,
Notes,,,,,,,,,,
"The following letter codes are used to indicate the reliability of the estimates: a - Excellent, b- Very good, c - Good, d - Fair (Use with Caution)",,,,,,,,,,
** Data suppressed to protect confidentiality or data not statistically reliable,,,,,,,,,,
++ Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0).  (Applies only to % Change of Average Rent Tables).,,,,,,,,,,
 - No units exist in the universe for this category,,,,,,,,,,
n/a: Not applicable,,,,,,,,,,
"CMA, CA and CSD definitions are based on 2016 Census Geography Definitions",,,,,,,,,,
Source,CMHC Rental Market Survey,,,,,,,,,
